symbol
CSCO
UAL
GTLB
BROS
TPR
DVN
NU
AM
W
CE
BA
GILD
MDB
SLM
AMKR
MDU
HUN
TER
MDT
V
CIEN
MO
CTRA
SWKS
ENPH
MCHP
EIX
KDP
BBY
SNDK
GEN
LVS
C
T
CF
MGM
CFG
DAR
WU
APH
SYY
CG
U
FCX
ADM
OGN
VKTX
BLDR
EQH
BAC
PSX
GPN
ROIV
TECH
LYFT
NVT
BRBR
MSTR
NOV
WBD
HAL
STZ
FLS
RPRX
Q
ADI
F
HOG
ADBE
SMMT
UWMC
SMCI
CPRT
ASTS
KVUE
MPW
TSN
SOLS
PEP
PEG
LLY
GPK
LOW
MDLZ
GFS
NLY
FMC
XEL
WDAY
MET
APO
FTV
XRAY
ACHC
INFA
QXO
FAST
DBX
TJX
MPC
D
MRK
S
STX
NCNO
ONON
COIN
ALAB
KHC
IPG
ABNB
CHWY
UNP
BILL
ABBV
ORCL
USFD
ETR
EBAY
GME
SBUX
PENN
APLS
IR
AMT
AUR
CNM
DJT
CMA
PG
SGI
CAT
AVTR
MCD
MNST
PSKY
AMZN
GEHC
ACI
DT
INTC
IOT
GAP
DOCU
COLD
GLW
BDX
KMI
CSGP
APTV
BBWI
DXCM
WELL
EXE
HOLX
DV
GM
TXN
REXR
TMO
OXY
DECK
CLF
CCI
MMM
MOS
FTNT
AFRM
DHI
HAYW
PR
ED
ES
LSCC
INVH
IP
KO
PCAR
AGNC
NIQ
WDC
PYPL
NEE
UPS
EMR
MSFT
UDR
UGI
OKTA
BIRK
UBER
DD
OLN
ACN
EW
CMG
COO
HPQ
SARO
AMAT
CELH
CCL
OVV
QS
BMRN
DKNG
FTAI
EA
FHN
AMD
DOCS
NDAQ
COLB
RTX
NXPI
KMX
PINS
MTCH
NVDA
ELF
CAVA
YETI
ENTG
EXC
RITM
HD
ALB
VLO
ZTS
DG
JEF
CMS
CNH
CAG
SCHW
AXP
HPE
HRL
SO
CIVI
MRVL
XOM
HR
HOOD
CVX
TWLO
CMCSA
PCG
ICE
NET
BEN
BKR
SIRI
NRG
ARMK
NKE
FIS
AMTM
KD
FANG
XYZ
VTR
RF
ETSY
AMCR
TAP
RBRK
TOST
GNTX
KR
PLD
IBM
USB
BSX
LKQ
ALGM
EOG
GTM
KMB
RVMD
GTES
NEM
LULU
BRKR
WFC
CTVA
TTD
EL
SOFI
CNP
AXTA
PM
CAH
PANW
EXEL
DELL
JHX
DIS
SW
QSR
GE
CGNX
MTG
AMH
SRPT
WEN
RDDT
ETN
NFLX
FLEX
KNX
LEN
WSC
FITB
TREX
ELAN
CVS
FE
SAIL
JPM
ABT
OMC
COF
TSCO
HST
MRNA
TSLA
OWL
COP
DHR
FOUR
MAT
CNC
CPNG
RKLB
RIVN
VTRS
NVST
CVNA
GOOGL
BRX
SNOW
BRO
ANET
ALK
ILMN
META
PATH
AAL
PK
MMC
FOXA
TTEK
CZR
LCID
CRWD
DINO
SRE
PRMB
ORLY
IVZ
RCL
COTY
GOOG
BAH
FLUT
EQT
LYV
FYBR
NTNX
PFE
MP
AVGO
DUK
CLVT
AS
CL
VFC
RBLX
UA
VZ
JCI
TEM
EXAS
DAY
PSTG
FSLR
AMGN
XP
VST
MRP
AR
CERT
FNB
ON
INSM
CRH
SPOT
RRC
RKT
CARR
QCOM
DASH
LYB
GIS
PHM
ROST
LBTYA
LUV
LW
MS
CPB
OKE
BK
SYF
OHI
ZM
HWM
TFC
DAL
APA
IBKR
K
BJ
CSX
NI
NCLH
COHR
ESI
IONS
HBAN
UNH
TEAM
PLTR
ALLY
FISV
DDOG
WMB
AIG
MA
TRU
HON
VICI
O
NWSA
AES
AU
SLB
DOC
TGT
AAPL
MKC
OTIS
CEG
WY
BX
VIK
DLTR
FND
TMUS
WMT
LITE
KIM
BAX
KKR
KEY
BMY
WYNN
BAM
CART
NUE
CTSH
GEV
CFLT
SWK
MU
AA
AEP
ADT
VRT
DOW
BALL
JNJ
APP
FTI
APG
Z
STWD
M
FLO
CRM
PGR
BWA
LRCX
NWL
UAA
PPL
ROKU
